gene,SRR33374996,SRR33375001,SRR33374995,SRR33374999,SRR33374997,SRR33375000
ACTR1B,23.188733,22.075975,21.355902999999998,26.247549,27.148728000000002,28.926445
ACTR2,182.33398,195.72859699999998,186.10211,133.268519,121.08731,119.900092
ACTR2P1,0.03028,0.0,0.028634,0.0,0.0,0.0
ACTR2P2,0.0,0.0,0.0,0.070125,0.028869,0.028417
ACTR3,112.27124699999999,120.51337099999999,116.9028,64.837308,67.033272,61.20368
ACTR3-AS1,1.7841,0.87427,1.643025,1.118588,0.53643,0.823412
ACTR3B,17.496992,16.07769,15.928118,15.5981,16.53503,16.428316000000002
ACTR3BP1,0.0,0.0,0.0,0.0,0.0,0.0
ACTR3BP2,0.0,0.0,0.0,0.0,0.0,0.0
ACTR3BP3,0.0,0.0,0.0,0.0,0.0,0.0
ACTR3BP4,0.0,0.0,0.0,0.0,0.0,0.0
ACTR3BP5,0.0,0.0,0.0,0.0,0.0,0.0
ACTR3BP6,0.0,0.0,0.0,0.0,0.0,0.0
ACTR3BP7,0.0,0.0,0.0,0.0,0.0,0.0
ACTR3C,3.474845,4.104452,4.274523,1.421716,1.536461,1.288499
ACTR3P2,0.0,0.0,0.0,0.0,0.0,0.0
ACTR3P3,0.0,0.0,0.057546,0.0,0.0,0.0
ACTR5,15.632251,15.945093,15.654736,6.998878,7.875654,6.739316
ACTR6,35.539057,49.636266,39.01458,34.764258999999996,27.632305,26.556263
ACTR6P1,0.0,0.0,0.0,0.0,0.0,0.0
ACTR8,41.393896000000005,49.476652,38.897326,20.677753,24.650304000000002,24.283078
ACTRT1,0.0,0.0,0.0,0.0,0.0,0.0
ACTRT1P1,0.0,0.0,0.0,0.0,0.0,0.0
ACTRT2,0.0,0.0,0.0,0.0,0.0,0.0
ACTRT3,2.402249,2.4644,3.27224,0.625056,0.763641,1.213628
ACVR1,27.50487,18.253685,19.381092000000002,18.085670999999998,22.501714,19.867892
