"gene","baseMean","log2FoldChange","lfcSE","pvalue","padj"
"ACTL10",56.33103948255,0.471525790590082,0.299292436072359,0.115148355194405,0.221788381961353
"ACTL11P",3.83445742805097,-0.235512202686924,1.16643225344851,0.839988514236116,0.913347463572173
"ACTL6A",3096.88602795168,-0.160333767475738,0.0544647786476127,0.00324202664930197,0.00939644453904346
"ACTL6B",1423.61928508526,-0.437021013343769,0.0738025069110263,3.19032274840773e-09,1.80437211033453e-08
"ACTL8",7.72004849277423,-0.856837392856764,0.913214474400233,0.34810812131429,0.521704846826394
"ACTMAP",732.494365953738,0.993965910261278,0.106034392099896,6.98376000328525e-21,8.07453877886612e-20
"ACTN1",6263.35601177128,-0.104851406747332,0.0527648654378941,0.0469063974398628,0.104364186150857
"ACTN2",136.694686030635,0.808718007961451,0.197247505408534,4.13120853018859e-05,0.00015692339509685
"ACTN4",5797.70964886336,-0.0667314308769462,0.0609974439390906,0.273953344554469,0.437689284353096
"ACTR10",1659.1408316952,0.129409027671246,0.0716383869992611,0.0708527323604822,0.148577721222546
"ACTR1A",6484.96313954804,-0.856075919583499,0.0528243153355031,4.56673152850328e-59,1.6917394163043e-57
"ACTR1B",1595.336293755,0.733399879294368,0.0746793464146133,9.1748121259761e-23,1.16612135452203e-21
"ACTR2",12167.0670462319,-0.113575950476818,0.0503664790402784,0.0241339017550693,0.0582920944636973
"ACTR3",4827.55844817933,-0.412261712836945,0.0509769716332496,6.10446204423428e-16,5.42199928550691e-15
"ACTR3-AS1",20.2691322659615,-0.645832471423316,0.526547288867728,0.219994704026984,0.37122112285318
"ACTR3B",1594.06722271534,0.329074941574767,0.0683978128976151,1.50033555528027e-06,6.67227059486871e-06
"ACTR3C",132.900356943482,-0.931348177766581,0.207107955700076,6.89444923061976e-06,2.87527063221578e-05
"ACTR5",695.272275600488,-0.757205511172409,0.0954190442779329,2.09512973925899e-15,1.8003065144529e-14
"ACTR6",955.919157848825,0.0287723340149527,0.223597441962803,0.897611515570828,0.946411456438788
"ACTR8",1677.1277108315,-0.391886899955481,0.0691860038258174,1.4766801366368e-08,7.89639819043844e-08
"ACTRT3",61.9121983517318,-1.23741081200583,0.322631891478789,0.00012537835811301,0.000446250724551839
"ACVR1",1489.3270408231,0.292300066804986,0.0686616118540124,2.07086041698526e-05,8.15705276248639e-05
"ACVR1B",1919.64292985276,0.261318223130735,0.0704308376523544,0.000207029040649325,0.000716636833338934
"ACVR1C",6.46653270018736,0.0777944025262918,0.958808808285853,0.935333388896797,0.966846964160434
"ACVR2A",564.218782507552,0.142829461631098,0.106590960395872,0.180252742379528,0.317951329894649
