region,target_gene,proxy,n,spearman_rho,p_value,q_value,in_correction_family
Spinal Cord Cervical,ORAI2,cryptic STMN2 PSI,142,-0.167,0.046400132393202,0.11342254585004934,yes
Spinal Cord Cervical,ORAI2,gene-level STMN2,142,0.276,0.0008963641248405,0.003342374702795085,yes
Spinal Cord Cervical,STIM1,cryptic STMN2 PSI,142,0.009,0.9155817688085964,0.9412522856910804,yes
Spinal Cord Cervical,STIM1,gene-level STMN2,142,-0.264,0.0014979292921749,0.005247822178833842,yes
Spinal Cord Cervical,ORAI1,cryptic STMN2 PSI,142,0.278,0.0008139987942116,0.003087581633216414,yes
Spinal Cord Cervical,ORAI1,gene-level STMN2,142,-0.162,0.0539499669683592,0.1249367656109371,yes
Spinal Cord Cervical,ATP2A3,cryptic STMN2 PSI,142,0.03,0.7238174987233311,0.8250769415499112,yes
Spinal Cord Cervical,ATP2A3,gene-level STMN2,142,0.016,0.8529469412838513,0.9087546855512253,yes
Spinal Cord Cervical,SNAP25,cryptic STMN2 PSI,142,-0.095,0.2590473799895197,0.4350414015091171,yes
Spinal Cord Cervical,SNAP25,gene-level STMN2,142,0.876,3.39034813329314e-46,1.864691473311227e-44,yes
Spinal Cord Cervical,GFAP,cryptic STMN2 PSI,142,-0.147,0.0811714461743705,0.169320574372681,yes
Spinal Cord Cervical,GFAP,gene-level STMN2,142,-0.212,0.0113240884876001,0.03235453853600029,yes
Spinal Cord Cervical,STMN2,cryptic STMN2 PSI,142,-0.244,0.0034066865338689,0.011355621779562999,yes
Spinal Cord Cervical,STMN2,gene-level STMN2,142,1.0,0.0,,no
Spinal Cord Lumbar,TRPC1,cryptic STMN2 PSI,149,-0.099,0.2283168822765207,0.39864852460979805,yes
Spinal Cord Lumbar,TRPC1,gene-level STMN2,149,0.136,0.0983880789252342,0.20042016077362523,yes
Spinal Cord Lumbar,SARAF,cryptic STMN2 PSI,149,-0.194,0.0177732543115956,0.0488764493568879,yes
Spinal Cord Lumbar,SARAF,gene-level STMN2,149,0.237,0.0036681112503633,0.012044544404178,yes
Spinal Cord Lumbar,CBARP,cryptic STMN2 PSI,149,-0.015,0.8550555450413801,0.9087546855512253,yes
Spinal Cord Lumbar,CBARP,gene-level STMN2,149,0.157,0.0558073830041424,0.1275986077218702,yes
Spinal Cord Lumbar,ATP2A2,cryptic STMN2 PSI,149,-0.183,0.0257937595377125,0.06836900118429819,yes
Spinal Cord Lumbar,ATP2A2,gene-level STMN2,149,0.428,5.269700144912688e-08,3.133335221299436e-07,yes
Spinal Cord Lumbar,ORAI2,cryptic STMN2 PSI,149,-0.126,0.1253039867606782,0.24181471129253684,yes
Spinal Cord Lumbar,ORAI2,gene-level STMN2,149,0.445,1.350758929104086e-08,8.490484697225683e-08,yes
Spinal Cord Lumbar,STIM1,cryptic STMN2 PSI,149,-0.28,0.0005377139620276,0.0021124477079655715,yes
Spinal Cord Lumbar,STIM1,gene-level STMN2,149,-0.072,0.3856668810434721,0.565644758863759,yes
Spinal Cord Lumbar,ORAI1,cryptic STMN2 PSI,149,0.234,0.0041088076624252,0.01329320126078741,yes
Spinal Cord Lumbar,ORAI1,gene-level STMN2,149,-0.179,0.0285881220437207,0.07399278646610064,yes
Spinal Cord Lumbar,ATP2A3,cryptic STMN2 PSI,149,0.122,0.1390770232184649,0.2637667681729507,yes
Spinal Cord Lumbar,ATP2A3,gene-level STMN2,149,-0.048,0.5593537549562397,0.7139294127846127,yes
Spinal Cord Lumbar,SNAP25,cryptic STMN2 PSI,149,-0.047,0.568361227145642,0.7145112569830927,yes
Spinal Cord Lumbar,SNAP25,gene-level STMN2,149,0.932,6.951324181239398e-67,1.5292913198726675e-64,yes
Spinal Cord Lumbar,GFAP,cryptic STMN2 PSI,149,-0.091,0.2673055236321689,0.4412490920771208,yes
Spinal Cord Lumbar,GFAP,gene-level STMN2,149,-0.182,0.0263848983188489,0.06910330512079474,yes
Spinal Cord Lumbar,STMN2,cryptic STMN2 PSI,149,-0.16,0.0513920921873747,0.12157269119594015,yes
Spinal Cord Lumbar,STMN2,gene-level STMN2,149,1.0,0.0,,no
Spinal Cord Thoracic,TRPC1,cryptic STMN2 PSI,35,-0.185,0.2860337564782171,0.4494816173229126,yes
Spinal Cord Thoracic,TRPC1,gene-level STMN2,35,0.401,0.0169593044244212,0.047228442700919804,yes
Spinal Cord Thoracic,SARAF,cryptic STMN2 PSI,35,-0.113,0.5175350900292759,0.6777245226573851,yes
Spinal Cord Thoracic,SARAF,gene-level STMN2,35,0.542,0.0007718664689985,0.002979133739994211,yes
Spinal Cord Thoracic,CBARP,cryptic STMN2 PSI,35,0.177,0.3077952548836551,0.46699969706485606,yes
Spinal Cord Thoracic,CBARP,gene-level STMN2,35,-0.033,0.8498413881379535,0.9087546855512253,yes
Spinal Cord Thoracic,ATP2A2,cryptic STMN2 PSI,35,-0.232,0.1794257715554859,0.3235546700180893,yes
Spinal Cord Thoracic,ATP2A2,gene-level STMN2,35,0.516,0.0015027854421206,0.005247822178833842,yes
Spinal Cord Thoracic,ORAI2,cryptic STMN2 PSI,35,0.019,0.914825091185636,0.9412522856910804,yes
Spinal Cord Thoracic,ORAI2,gene-level STMN2,35,0.283,0.0997264433146651,0.20128272962592955,yes
Spinal Cord Thoracic,STIM1,cryptic STMN2 PSI,35,-0.191,0.2728540488619256,0.44138154962958553,yes
Spinal Cord Thoracic,STIM1,gene-level STMN2,35,-0.138,0.4283400931620369,0.6002217865964848,yes
Spinal Cord Thoracic,ORAI1,cryptic STMN2 PSI,35,0.333,0.0502656486150937,0.12152134830022654,yes
Spinal Cord Thoracic,ORAI1,gene-level STMN2,35,-0.229,0.1851551589836636,0.3311718290764715,yes
Spinal Cord Thoracic,ATP2A3,cryptic STMN2 PSI,35,0.03,0.8638381257955239,0.9136749407452657,yes
Spinal Cord Thoracic,ATP2A3,gene-level STMN2,35,-0.188,0.2798836195038613,0.4461912774699239,yes
Spinal Cord Thoracic,SNAP25,cryptic STMN2 PSI,35,-0.134,0.4418427153394599,0.6057128195000693,yes
Spinal Cord Thoracic,SNAP25,gene-level STMN2,35,0.898,2.491861168245797e-13,2.491861168245797e-12,yes
Spinal Cord Thoracic,GFAP,cryptic STMN2 PSI,35,-0.065,0.7097748667482167,0.8175417313330243,yes
Spinal Cord Thoracic,GFAP,gene-level STMN2,35,-0.166,0.339775771883021,0.5016823477467425,yes
Spinal Cord Thoracic,STMN2,cryptic STMN2 PSI,35,-0.238,0.1687630342939553,0.30939889620558475,yes
Spinal Cord Thoracic,STMN2,gene-level STMN2,35,1.0,0.0,,no
