comparison,gene,n_case,n_control,median_difference_log2CPM,cliffs_delta,p_value,q_value,significant,direction
GSE138614 · DENEK duzeyi (10 MS vs 5 kontrol),ATP2A2,10,5,0.0279,0.12,0.7678987678987679,0.7678987678987679,,increased
GSE138614 · DENEK duzeyi (10 MS vs 5 kontrol),ATP2A3,10,5,0.4542,0.36,0.3096903096903097,0.5349196258287168,,increased
GSE138614 · DENEK duzeyi (10 MS vs 5 kontrol),STMN2,10,5,0.3361,0.12,0.7678987678987679,0.7678987678987679,,increased
GSE138614 · DENEK duzeyi (10 MS vs 5 kontrol),UNC13A,10,5,0.4685,0.44,0.2064602064602064,0.4358604358604359,,increased
GSE138614 · DENEK duzeyi (10 MS vs 5 kontrol),TARDBP,10,5,0.1566,0.24,0.5134865134865134,0.7678987678987679,,increased
GSE138614 · DENEK duzeyi (10 MS vs 5 kontrol),GFAP,10,5,0.8751,0.96,0.0013320013320013,0.0253080253080253,yes,increased
GSE138614 · DENEK duzeyi (10 MS vs 5 kontrol),AIF1,10,5,0.6239,0.2,0.594072594072594,0.7678987678987679,,increased
GSE138614 · DENEK duzeyi (10 MS vs 5 kontrol),SNAP25,10,5,-0.0052,0.2,0.594072594072594,0.7678987678987679,,increased
GSE138614 · DENEK duzeyi (10 MS vs 5 kontrol),RBFOX3,10,5,0.5836,0.56,0.0992340992340992,0.3142413142413142,,increased
GSE138614 · DENEK duzeyi (10 MS vs 5 kontrol),MBP,10,5,-0.7446,-0.92,0.0026640026640026,0.0253080253080253,yes,decreased
GSE138614 · DENEK duzeyi (10 MS vs 5 kontrol),PLP1,10,5,-0.3526,-0.8,0.0126540126540126,0.048085248085248,yes,decreased
