gene,gene_upper,panel,source_lists,categories,source_evidence
CAMK2A,CAMK2A,Tier3_Curated_Calcium_Handling_258,Curated_258,CaM_CaMK,Curated_258:CaM_CaMK
CAMK2B,CAMK2B,Tier3_Curated_Calcium_Handling_258,Curated_258,CaM_CaMK,Curated_258:CaM_CaMK
CAMK2D,CAMK2D,Tier3_Curated_Calcium_Handling_258,Curated_258,CaM_CaMK,Curated_258:CaM_CaMK
CAMK2G,CAMK2G,Tier3_Curated_Calcium_Handling_258,Curated_258,CaM_CaMK,Curated_258:CaM_CaMK
CAMK4,CAMK4,Tier3_Curated_Calcium_Handling_258,Curated_258,CaM_CaMK,Curated_258:CaM_CaMK
CAMKK1,CAMKK1,Tier3_Curated_Calcium_Handling_258,Curated_258,CaM_CaMK,Curated_258:CaM_CaMK
CAMKK2,CAMKK2,Tier3_Curated_Calcium_Handling_258,Curated_258,CaM_CaMK,Curated_258:CaM_CaMK
CAPN1,CAPN1,Tier3_Curated_Calcium_Handling_258,Curated_258,Calpains,Curated_258:Calpains
CAPN10,CAPN10,Tier3_Curated_Calcium_Handling_258,Curated_258,Calpains,Curated_258:Calpains
CAPN15,CAPN15,Tier3_Curated_Calcium_Handling_258,Curated_258,Calpains,Curated_258:Calpains
CAPN2,CAPN2,Tier3_Curated_Calcium_Handling_258,Curated_258,Calpains,Curated_258:Calpains
CAPN3,CAPN3,Tier3_Curated_Calcium_Handling_258,Curated_258,Calpains,Curated_258:Calpains
CAPN5,CAPN5,Tier3_Curated_Calcium_Handling_258,Curated_258,Calpains,Curated_258:Calpains
CAPN7,CAPN7,Tier3_Curated_Calcium_Handling_258,Curated_258,Calpains,Curated_258:Calpains
