gene,gene_upper,panel,source_lists,categories,source_evidence
CREB1,CREB1,Tier4_Expanded_Calcium_Associated_732,Calcium_genes_analysis;Categorized_calcium;Galaxy_STAR_calcium;KEGG_calcium_cAMP,Calcium_Signaling;Galaxy_STAR_calcium;Other Ca-related;cGMP-PKG signaling pathway,Calcium_genes_analysis:Calcium_Signaling;Categorized_calcium:Other Ca-related;Galaxy_STAR_calcium:Galaxy_STAR_calcium;KEGG_calcium_cAMP:cGMP-PKG signaling pathway
CREB3,CREB3,Tier4_Expanded_Calcium_Associated_732,Calcium_genes_analysis;KEGG_calcium_cAMP,Calcium_Signaling;cGMP-PKG signaling pathway,Calcium_genes_analysis:Calcium_Signaling;KEGG_calcium_cAMP:cGMP-PKG signaling pathway
CREB3L1,CREB3L1,Tier4_Expanded_Calcium_Associated_732,KEGG_calcium_cAMP,cGMP-PKG signaling pathway,KEGG_calcium_cAMP:cGMP-PKG signaling pathway
CREB3L2,CREB3L2,Tier4_Expanded_Calcium_Associated_732,KEGG_calcium_cAMP,cGMP-PKG signaling pathway,KEGG_calcium_cAMP:cGMP-PKG signaling pathway
CREB3L3,CREB3L3,Tier4_Expanded_Calcium_Associated_732,KEGG_calcium_cAMP,cGMP-PKG signaling pathway,KEGG_calcium_cAMP:cGMP-PKG signaling pathway
CREB3L4,CREB3L4,Tier4_Expanded_Calcium_Associated_732,Categorized_calcium;Galaxy_STAR_calcium;KEGG_calcium_cAMP,Galaxy_STAR_calcium;Other Ca-related;cGMP-PKG signaling pathway,Categorized_calcium:Other Ca-related;Galaxy_STAR_calcium:Galaxy_STAR_calcium;KEGG_calcium_cAMP:cGMP-PKG signaling pathway
CREB5,CREB5,Tier4_Expanded_Calcium_Associated_732,Calcium_genes_analysis;KEGG_calcium_cAMP,Calcium_Signaling;cGMP-PKG signaling pathway,Calcium_genes_analysis:Calcium_Signaling;KEGG_calcium_cAMP:cGMP-PKG signaling pathway
CREBBP,CREBBP,Tier4_Expanded_Calcium_Associated_732,Categorized_calcium;Galaxy_STAR_calcium;KEGG_calcium_cAMP,Galaxy_STAR_calcium;Other Ca-related;cAMP signaling pathway,Categorized_calcium:Other Ca-related;Galaxy_STAR_calcium:Galaxy_STAR_calcium;KEGG_calcium_cAMP:cAMP signaling pathway
CRH,CRH,Tier4_Expanded_Calcium_Associated_732,KEGG_calcium_cAMP,cAMP signaling pathway,KEGG_calcium_cAMP:cAMP signaling pathway
CRHR1,CRHR1,Tier4_Expanded_Calcium_Associated_732,KEGG_calcium_cAMP,cAMP signaling pathway,KEGG_calcium_cAMP:cAMP signaling pathway
CRHR2,CRHR2,Tier4_Expanded_Calcium_Associated_732,KEGG_calcium_cAMP,cAMP signaling pathway,KEGG_calcium_cAMP:cAMP signaling pathway
CTNNB1,CTNNB1,Tier4_Expanded_Calcium_Associated_732,Categorized_calcium;Galaxy_STAR_calcium,Galaxy_STAR_calcium;Other Ca-related,Categorized_calcium:Other Ca-related;Galaxy_STAR_calcium:Galaxy_STAR_calcium
CXCR4,CXCR4,Tier4_Expanded_Calcium_Associated_732,KEGG_calcium_cAMP,Calcium signaling pathway,KEGG_calcium_cAMP:Calcium signaling pathway
CYSLTR1,CYSLTR1,Tier4_Expanded_Calcium_Associated_732,KEGG_calcium_cAMP,Calcium signaling pathway,KEGG_calcium_cAMP:Calcium signaling pathway
CYSLTR2,CYSLTR2,Tier4_Expanded_Calcium_Associated_732,KEGG_calcium_cAMP,Calcium signaling pathway,KEGG_calcium_cAMP:Calcium signaling pathway
D2HGDH,D2HGDH,Tier4_Expanded_Calcium_Associated_732,Categorized_calcium;Galaxy_STAR_calcium,Galaxy_STAR_calcium;Other Ca-related,Categorized_calcium:Other Ca-related;Galaxy_STAR_calcium:Galaxy_STAR_calcium
DIAPH1,DIAPH1,Tier4_Expanded_Calcium_Associated_732,Categorized_calcium;Galaxy_STAR_calcium,Galaxy_STAR_calcium;Other Ca-related,Categorized_calcium:Other Ca-related;Galaxy_STAR_calcium:Galaxy_STAR_calcium
DMPK,DMPK,Tier4_Expanded_Calcium_Associated_732,Categorized_calcium;Galaxy_STAR_calcium,Galaxy_STAR_calcium;Other Ca-related,Categorized_calcium:Other Ca-related;Galaxy_STAR_calcium:Galaxy_STAR_calcium
DMTN,DMTN,Tier4_Expanded_Calcium_Associated_732,Categorized_calcium;Galaxy_STAR_calcium,Galaxy_STAR_calcium;Other Ca-related,Categorized_calcium:Other Ca-related;Galaxy_STAR_calcium:Galaxy_STAR_calcium
DNM2,DNM2,Tier4_Expanded_Calcium_Associated_732,Categorized_calcium;Galaxy_STAR_calcium,Galaxy_STAR_calcium;Other Ca-related,Categorized_calcium:Other Ca-related;Galaxy_STAR_calcium:Galaxy_STAR_calcium
DRD1,DRD1,Tier4_Expanded_Calcium_Associated_732,KEGG_calcium_cAMP,Calcium signaling pathway,KEGG_calcium_cAMP:Calcium signaling pathway
DRD2,DRD2,Tier4_Expanded_Calcium_Associated_732,KEGG_calcium_cAMP,cAMP signaling pathway,KEGG_calcium_cAMP:cAMP signaling pathway
DRD5,DRD5,Tier4_Expanded_Calcium_Associated_732,KEGG_calcium_cAMP,Calcium signaling pathway,KEGG_calcium_cAMP:Calcium signaling pathway
EDN1,EDN1,Tier4_Expanded_Calcium_Associated_732,KEGG_calcium_cAMP,cAMP signaling pathway,KEGG_calcium_cAMP:cAMP signaling pathway
EDN2,EDN2,Tier4_Expanded_Calcium_Associated_732,KEGG_calcium_cAMP,cAMP signaling pathway,KEGG_calcium_cAMP:cAMP signaling pathway
EDN3,EDN3,Tier4_Expanded_Calcium_Associated_732,KEGG_calcium_cAMP,cAMP signaling pathway,KEGG_calcium_cAMP:cAMP signaling pathway
EDNRA,EDNRA,Tier4_Expanded_Calcium_Associated_732,KEGG_calcium_cAMP,Calcium signaling pathway,KEGG_calcium_cAMP:Calcium signaling pathway
EDNRB,EDNRB,Tier4_Expanded_Calcium_Associated_732,KEGG_calcium_cAMP,Calcium signaling pathway,KEGG_calcium_cAMP:Calcium signaling pathway
